,title,class
82,kerry say confident trump administration stick peaceful policy asia,1
83,cnbc debate hack prof allegiance democrat party tweet celebrating mass murder,0
84,sunday screening deep state hiding plain sight,0
85,concerned cyber threat obama seek big increase funding,1
86,face time may uk listens banker brexit worry,1
87,finnish court ban neo nazi group,1
88,france open door strengthen iran nuclear deal post,1
89,extraordinary detail emerge senator john mccain got dirty dossier president trump ex spy medium outrage,0
90,ny mets honor murdered cop brian moore planned take girlfriend dad game tonight,0
91,british lawmaker defeat may government brexit law,1
92,watch president obama zing hell trump jimmy kimmel,0
93,saudi arabian airline resume flying iraq year,1
94,clinton warns complacency trump warns world war three,1
95,text michael flynn letter resigning national security adviser,1
96,u congresswoman urge labor department probe chipotle wage theft allegation,1
97,microsoft victory overseas email seizure case upheld,1
98,irony college anti capitalist group disbands member rich white,0
99,dublin reject british proposal post brexit irish border,1
100,white house official confirm trump got story obama tapping wire directly breitbart,0
101,breaking news direction president yr old american released n korean prison video,0
102,powerful hurricane fuel demand island nation climate talk,1
103,best way clear soros anti trump rioter dc found one piece paper,0
104,trump adviser bannon say u economic war china medium,1
105,philosopher slavoj ek american left lack authenticity,0
106,trump take voter fraud conspiracy terrifying new level,0
107,italian politician arm austria passport offer,1
108,trump say britain would better outside eu,1
109,twitter claim cracking hate speech allows hope trump assassinated trend,0
110,case trump worker contract raise conflict interest question,1
111,libya say pushing removed trump travel ban list,1
112,arizona gop speaker invokes ban press house floor retaliation negative story,0
113,congress give puerto rico debt restructuring authority white house,1
114,brazil court freeze ex leader rousseff asset refinery deal,1
115,turkish banker make second bid mistrial u sanction case,1
116,breaking war police drag radical heckler trump rally fight break video,0
117,wild elephant trample death four rohingya refugee bangladesh,1
118,brexit talk postponed hand negotiator flexibility britain,1
119,g suspends nine staff uk migrant center say investigate conduct,1
120,iran say trump stay committed nuclear deal tasnim news,1
121,mccain say information russia sought influence election probe needed,1
122,u agency seek idea trump proposed border wall,1
123,pressure pm may say steer britain brexit,1
124,trump justice department civil right nominee denounces neo nazi,1
125,people line see tim kaine speak classroom mike penny packing large venue across america video,0
126,breitbart joel pollack brilliantly shuts view lunatic video,0
127,three shocking reason hillary clinton considered abortion extremist,0
128,harry reid torch fbi director comey believed principled see wrong,0
129,watch arrogant sexual predator sometimes comedian louis c k tell stephen colbert donald trump insane bigot hitler,0
130,vile leftist turn democrat away watch angry leftist openly bully american engaged peaceful prayer video,0
131,trump fundraise campaign win republican nomination cnn,1
132,u ambassador appointed obama must quit inauguration day,1
133,former classmate trump smacked son hard knocked floor,0
134,senator propose legislation protect special counsel trump,1
135,seth meyers torch trump nafta flip flop awesomely dirty joke video,0
136,canada make fighter jet announcement december official,1
137,watch fox news host vies dumbest network talking racism obama,0
138,obama open border illegal alien deported time arrested meth charge,0
139,george takei buries trump perfect response tweet jailing flag burner,0
140,leaked email hillary team caught bashing backwards catholic,0
141,ugandan opposition leader held murder charge protest,1
142,national security advisor call liberal press fake news story false video,0
143,facebook say likely russian based operation funded u ad political message,1
144,white mom furious black woman called cop left kid hot car screenshots,0
145,time donald trump asked hacker take obama,0
146,top republican grows backbone charlottesville blame trump dividing america image,0
147,polish lower house parliament back judiciary council change,1
148,top democrat senate panel rollback dodd frank work,1
149,trump social medium man join bos insane juvenile attack morning joe host tweet,0
150,mayor ny los angeles pledge remain immigrant sanctuary,1
151,overcrowded greek refugee camp ill prepared winter unhcr,1
152,mexico u agree talk publicly wall payment,1
153,james clapper debunks russia hacked u election meme,0
154,trump say make high court pick within two week taking office,1
155,ten day crack brexit deal eu tell may,1
156,investor wilbur ross urge trump let behavior become issue,1
157,actor rob lowe blast greedy socialist bernie sander,0
158,watch msnbc panel explains terrifying reason trump dangerous listening racist conspiracy nut,0
159,turkey order detention people post coup probe anadolu,1
160,major republican celebrity turn trump fan shocked tweet,0
161,cruz attempt act tough hilariously backfire reporter asks brutal follow video,0
162,srebrenica survivor punishment enough mladic despite conviction,1
163,trump belief obama born united state campaign,1
164,watch democratic rep delivers scathing rebuke trumpcare bill thunderous applause house floor,0
165,something hokey ted,0
166,germany approves sale three thyssenkrupp submarine israel,1
167,clinton spokeswoman defends drug plan pfizer comment,1
168,ouch new email show hillary want fly plane michelle obama,0
169,saudi say trump visit bolster security trade tie,1
170,police arrest u capitol protest money politics,1
171,n j governor christie sign atlantic city rescue package law,1
172,mizzou cry baby complain paris terror tragedy stealing spotlight struggle,0
173,chick fil got shut nyc fly food conservative claim religious persecution,0
174,haley say want secretary state tillerson job,1
175,home rebel republican lawmaker pay price defying trump,1
176,hillary scumbags torch navy veteran home supporting donald trump video,0
177,london police arrest woman incident prince george school,1
178,trump testify trump university lawsuit nov vote report,1
179,turkish newspaper staff remanded custody coup attempt link cnn turk,1
180,russia unveils monument designer iconic ak rifle,1
181,report clinton may pick elizabeth warren v p harry reid leading effort,0
182,haiti ex prime minister banned travel amid corruption probe,1
183,trump say want star inauguration like fancy party,0
184,germany france float new sanction north korea nuclear test,1
185,calexit really thing might mean actual secession detail,0
186,influential hollywood leftist look forward racist comedian chris rock smack white oscar,0
187,greek president tell turkey erdogan treaty revision,1
188,ga town mandate gun ownership happened crime rate,0
189,russia accuses u pretending fight islamic state syria iraq,1
190,macron popularity improving poll,1
191,white guilt idiocy oscar nominee embarrassed part hollywood whitewashing,0
192,petty faa rebuke trump,0
193,u farm group oppose trump cut agriculture spending,1
194,chicago mayor seek rebound new budget labor peace,1
195,sarah palin get owned sucking julian assange called terrorist,0
196,uk pm may travel brussels meeting eu barnier juncker,1
197,german finmin schaeuble ready head parliament senior conservative,1
198,austria kurz say fight anti semitism israel voice concern,1
199,trump push drugmakers lower price u production,1
200,czech pm designate eu push u migrant paper,1
201,busted main political fact checker snopes finally exposed liberal hack,0
202,hillary unfit serve cover imploding video,0
203,watergate pale compared trump russia former u intelligence head,1
204,ukraine rebel leader say situation luhansk attempted coup,1
205,defiant kurd shrug risk trade war independence vote,1
206,u might expand laptop ban airport homeland security,1
207,islamic justice britain stunned discover many secret sharia court operating uk,0
208,number jon ossoff losing georgia election actually good news democrat,0
209,trump nato plan would sharp break decade long u policy,1
210,gay men killed fl shooting would able donate blood today,0
211,cell phone footage cop brutally assaulting student make sick video,0
212,corporate plantation ncaa college sport oligopoly,0
213,united state say cambodian accusation false,1
214,use lose occasional ohio voter may shut november,1
215,liberal lunacy real tom turkey get kick,0
216,exclusive trump boost disaster aid puerto rico rebuild,1
217,syrian u strike turned trump villain hero,1
218,three dead body pulled sea near spain migrant boat sink,1
219,chicago project shrinking budget gap,1
220,illegal invasion continues nyc ramping give million illegals voting right,0
221,year old texan woman get put charge,0
222,rambo love donald hollywood icon express support trump liberal head explode,0
223,fox news trying cover harassment lawsuit,0
224,london mayor harsh word community organizer chief butt mr obama,0
225,gop house leadership place political career national security reportedly caving democrat,0
226,view loudmouth liberal joy behar call bill clinton rape victim tramp show targeted woman video,0
227,trump say encouraging hatch run election possibly blocking romney bid,1
228,ex aide christie lied new jersey bridgegate filing,1
229,lebanon speaker say government still stand pm quit source,1
230,boeing ceo say assured trump air force one cost,1
231,guess supreme court justice got caught sleeping case image,0
232,facebook political influence microscope,1
233,trump economic adviser powell named deputy national security adviser,1
234,u ambassador haley u n exhausted option north korea,1
235,watch republican heartlessly tell mother son want healthcare get better job,0
236,trump say u mexico border wall come soon abc interview,1
237,u business fear nafta doomed mexico warns consequence,1
238,guess whose famous voice narrates trump first tv ad video,0
239,john mccain say much bigger threat u isi trump hate,0
240,turkey take security measure russia defense deal erdogan,1
241,clinton visit atlantic city boardwalk hit trump casino bankruptcy,1
242,house speaker ryan attack obama trip cuba,1
243,trump release jfk file block others pressure,1
244,trump budget menu u senator lunch tillerson,1
245,dopey santa mcafee hacked silicon valley v acr boiler room ep,0
246,palestinian speed gaza handover talk amid anger u israel,1
247,unhcr say australia abandoned refugee must clear mess made,1
248,catalan bank depositor flock region open new account,1
249,top gop adviser admits hillary clinton would better president donald trump video,0
250,key republican say trump must work europe iran,1
251,obama suggests u embassy move jerusalem could explosive,1
252,trump actively working rip family away military member,0
253,republican lawmaker rally around session trump intensifies pressure,1
254,puerto rico authorizes debt payment suspension obama sign rescue bill,1
255,uk pm may postpones trip china avoid timetable clash trump sky,1
256,saudi crown prince meet lebanon maronite patriarch al arabiya,1
257,ted cruz one justice away stopping every gop assault human right video,0
258,trump administration free fall concrete evidence linking trump russia emerges detail,0
259,video baltimore mayor give totally insane reason giving million freddie gray family,0
260,kansa house fails attempt override medicaid veto,1
261,brazil top prosecutor request billionaire batista arrest source,1
262,national archive missing massive data clinton white house record,0
263,department homeland security suspends flagging traveler executive order,1
264,republican obamacare repeal going get done,1
265,death tax half prince estate go government,0
266,wisconsin judge reject bid stop election recount,1
267,sarah palin said stupidest thing twitter got humiliated,0
268,donald trump jr tweet unintentionally humiliating photo block people mock,0
269,apprentice insider trump bid echo reality tv,1
270,scott baio emerges mob film tell fox news want trump video,0
271,south africa zuma asks court set aside report influence peddling,1
272,watch trump top cheerleader cnn got handed,0
273,secret society ruined world rhodes rothschild milner,0
274,boiler room hollywood hill eye,0
275,hypocrisy democrat senator criticizes president trump moving u embassy jerusalem voted move u embassy jerusalem,0
276,breaking thief steal irs info taxpayer,0
277,must watch kellyanne conway punch back juan williams questioned could work raise kid play golf mistress video,0
278,trump supporter going jail could take donald campaign,0
279,irish foreign minister say brexit border breakthrough possible monday,1
280,trump name ex georgia governor perdue agriculture secretary,1
281,u supreme court reject new zealand based internet mogul appeal,1
282,u must step support operation west africa militant france,1
283,lifetime texas republican leaf gop epic resignation letter,0
284,nz first leader welcome politically driven drop nz,1
285,inside trump charity ball tonight beautiful mar lago protest outside video,0
286,lewandowski admits fbi comey letter trump election,0
287,obama finally weighs vote president explicit message democrat,0
288,trump health pick favor insurance people prior illness,1
289,trump continued search new fbi chief seen chaotic source,1
290,nazi website praise trump pathetic response charlottesville violence,0
291,milwaukee art museum display huge portrait pope francis made condom,0
292,trump chicago rally called safety reason amid chaos,1
293,conservative activist tell milwaukee patriot shoot black woman child video,0
294,univ ga professor allows student choose grade help alleviate stress,0
295,meet leftist assistant professor made bogus list fake conservative website went viral,0
296,philippine military kill escaping islamist militant marawi,1
297,romney mix others secretary state trump adviser,1
298,watch mark cuban informs fox host medium would cover trump better would shut,0
299,breaking paul ryan nervously giggle budget speech fund border wall video,0
300,white house assails trump secrecy financial dealing russia,1
301,britain want zimbabwe rejoin international community pm may,1
302,watch google manipulate search hillary clinton favorable result video,0
303,odebrecht say dealing peru president legitimate,1
304,u congressman resign report alleged asked woman abortion,1
305,german ban islamist group true religion confirmed complaint dropped,1
306,trump seek defense spending boost watchdog cite faulty pentagon accounting,1
307,eu take advantage drop migrant influx oecd gurria,1
308,trump staff hang absurdly offensive abraham lincoln banner mar lago dining room,0
309,trump trying make facebook give personal info people criticize,0
310,clinton supporter claim credit multiple bernie facebook group taken image,0
311,stealing election shocking cbs report show anyone hack vote video show easy rig system,0
312,donald trump sends embarrassing new year eve message disturbing,0
313,trump would favor senate rule change supreme court choice blocked,1
314,trump tried compliment democrat keith ellison ellison response u tweet,0
315,white supremacist robocall trump ahead super tuesday audio,0
316,house panel interview former trump adviser,1
317,white house responds russian election hack trump pissed video,0
318,trump vow strong tie israel elected president,1
319,ronald reagan daughter destroys trump reminds dad shot,0
320,believe medium massive fl trump rally fan walk mile get rally video hillary handler tell smile,0
321,gun grabbing judge restrict right common firearm,0
322,two picture perfectly illustrate difference obama lawless america trump law order america,0
323,massachusetts cannot hold immigrant u detain state top court,1
324,lebanon hariri must return home saudi prove free foreign minister,1
325,wife lion quarterback matthew stafford sent brutal message nfl player disrespect flag,0
326,heck happened secure border fence act,0
327,romania former king michael dy switzerland age,1
328,dem opposes ebt fraud bill busted ebt fraud,0
329,russia protest u shameful theft consulate flag,1
330,factbox xi ally dominate china new member politburo,1
331,russia hold rate amid geopolitical risk see cut year end,1
332,france le pen seek bill macron main opponent,1
333,factbox highlight draft u n north korea sanction resolution,1
334,drug lobby criticism start medium campaign,1
335,republican congress take washington c law local outrage,1
336,u issue visa nation deportation crackdown,1
337,ben carson really compared gop nominating rule jim crow era law video,0
338,gop evidence comey fbi busted giving clinton special status responsible still fbi video,0
339,uk prepared pay eu single market access transition government source,1
340,al qaeda warns myanmar punishment rohingya,1
341,breaking wikileaks email show bill clinton allegedly sexually abused rd cousin babysat chelsea,0
342,trump scorn probe fbi pre election handling clinton email,1
343,clinton open double digit lead trump nationwide reuters ipsos poll,1
344,watch ted cruz insult everyone debate stage surprising reason video,0
345,watch cowardly antifa thug surround afghanistan veteran boston free speech rally scream face f ck nazi scum,0
346,lebanon hariri land cyprus meet president hariri twitter feed,1
347,house speaker ryan blast democrat proposal month debt limit increase,1
348,jihadi gran get year joining son syria,1
349,foreign policy insider trump turned recording phone call vladimir putin,0
350,hillary campaign yuge trouble shocking statistic show number vote way election lost,0
351,pres obama saved chelsea manning way door,0
352,stevie wonder slam black life matter mn peace conference cannot say black life matter kill video,0
353,forty human trafficker arrested people rescued west africa,1
354,white moldy french russia response sanction go gourmet,1
355,breaking huge deal putin suspends nuclear pact u,0
356,wikipedia brutally trash paul ryan add spineless animal page image,0
357,shocking interview donald trump admitted killing political enemy big deal video,0
358,heck al gore meeting trump team today video,0
359,iran reject u demand u n visit military site,1
360,racist hacker remotely controlled college printer spread anti jew propaganda,0
361,watch former puerto rico governor humiliates pouting msnbc host mika brzezinski putting hate trump need hurricane victim,0
362,debate disaster hillary room full democrat undecided voter pa bar turned trump,0
363,south africa considering best time nuclear power expansion zuma,1
364,bristol palin loses full custody son humiliating court defeat,0
365,wow trump underestimated illegal vote new study show million non citizen voted illegally obama election video,0
366,varadkar bounce give ireland fine gael eight point poll lead,1
367,obama give final thought trump presidency comma story building america,0
368,britain summons chinese ambassador uk activist denied hong kong entry,1
369,paul ryan cite trump lack experience amid fbi russia probe,1
370,trump trade official prefer tri lateral nafta deal u senator,1
371,breaking wikileaks release hillary speech brazilian banker dream open border,0
372,buy medium hype democrat united,0
373,mccain f cked senate republican trumpcare much better way already knew,0
374,many trump voter welcome u air strike show strength,1
375,georgia republican candidate neighborhood blocked threatening discovery mailbox neighbor karen handel dirty fascist,0
376,company us black model promote worst shirt ever image tweet,0
377,elector given intelligence briefing cast vote,0
378,shocker cnn jake tapper put lying palestinian propagandist place run cop knife going get shot video,0
379,new york police arrest immigration protest trump tower,1
380,mexico warns tariff spurns u aid review trump,1
381,john kasich create government agency promote christianity video,0
382,oregon cop convicted shattering biker collarbone kick forgot dashcam video,0
383,putin link japan peace treaty tokyo alliance,1
384,tucker carlson rip pro refugee leader taking money force tax code video,0
385,argentina say russia want argentine food product,1
386,indian protest godman convicted rape kill,1
387,trump bares unga kind neocon full monte,0
388,boom wikileaks show hillary speech banker would like see successful business people run office maybe rented never bought,0
389,watch florida landscaper swears accidentally mowed trump sign repeatedly video,0
390,chinese police detain seven multi billion underground currency scheme,1
391,trump state campaign chair hot water trafficking kid sex detail,0
392,rt exclusive peter lavelle interview dr ron paul trump challenge,0
393,fundraiser make pitch trump hedge fund conference,1
394,american furious lash liberal use sacred wtc site make anti trump statement,0
395,admiral ace lyon would american president embrace muslim brotherhood video,0
396,jill stein claim recount possible foreign interference update citizen petition halt recount evidence foreigner donation stein recount video,0
397,egypt air base attack kill officer north sinai military statement,1
398,trump aide kushner scrap plan canada visit canada official,1
399,new mexico erasing actual science science standard,0
400,republican senator collins opposes pruitt epa chief,1
401,trump twitter dec hillary clinton tax cut bill,1
402,viral video german youth deliver powerful anti refugee message political leader ready reconquista,0
403,around people injured swiss train collision police,1
404,trump attacked obama george takei stepped tore new one tweet,0
405,hiv positive crack smoking liberal actor charlie sheen wish death donald trump get destroyed twitter,0
406,watch anderson cooper beat trump campaign manager hypocrite,0
407,minority trump supporter thrown maxine water town hall leftist bully video,0
408,watch fox host smile thought october terrorist attack would help trump,0
409,trump fire campaign manager shakeup election push,1
410,britain still committed unesco pm may spokesman say,1
411,zimbabwe mnangagwa promise zero tolerance corruption fight,1
412,changing tune man police van freddie gray break silence,0
413,trump stunned pope call fat face video,0
414,kaspersky say obtained suspected nsa hacking code u computer,1
415,vietnam police arrest ex politburo member misconduct,1
416,exclusive japan eye u job investment initiative ahead abe trump summit,1
417,uk counter terrorism police arrest four send bomb disposal team,1
418,even ally admit hillary debate trump freaking,0
419,trump say disappointed collapse obamacare repeal bill,1
420,exclusive trump approve keystone xl meeting transcanada ceo official,1
421,obama say trump immigration move cruel required legally,1
422,melissa harris perry done msnbc pen detailed letter explaining,0
423,factbox trump point immigration plan,1
424,trump rewrote political playbook successful white house bid,1
425,france see u strike syria tool push peace talk hollande,1
426,delusional democrat al green draw document impeachment video,0
427,uk may defend free trade iran deal talk trump,1
428,hot trump property selling like hotcake video,0
429,germany schaeuble say soft brexit best way minimize damage,1
430,moscow never supported complete embargo north korea ria cite deputy fm,1
431,obama meet republican ryan mcconnell next week white house,1
432,chile pinera seen winning percent vote guillier percent medium projection,1
433,u navy chief say force asia may reinforced warship eastern pacific,1
434,congress weighs harvey aid trump call historic,1
435,jill stein pa vote recount effort looking good crooked hillary,0
436,trump team collude israel kushner acting foreign agent tel aviv,0
437,clinton supreme court plan could destroy senate republican,0
438,jimmy fallon destroys trump university hilarious pro con segment video,0
439,wow nyt stunning article slays first lady hillary clinton call congenital liar longtime habit lying never called account lying,0
440,white house tried pretend trump winning immediately regret detail,0
441,white house seek billion hurricane aid far short request,1
442,shocking often airline bump passenger flight video,0
443,democrat filibuster hour republican cave allowing vote gun control,0
444,trump go ballistic white house correspondent dinner continues without video,0
445,th july humor brutal cartoon show difference liberal proud american,0
446,glowing profile crack door open private life china xi,1
447,exclusive u document certifies honduras supporting right amid vote crisis,1
448,remaking christian nation refugee unbearable video,0
449,u senate vote overturn obama broadband privacy rule,1
450,trump support nato collective defense clause senior official,1
451,new zealand labour leader say immediate talk likely election kingmaker,1
452,philippine declares battle islamist rebel marawi city,1
453,mansion obama stay havana built impress,1
454,convenient active shooter kill fort lauderdale cnn claim voice head told join isi,0
455,michelle obama wanted biden run could beat hillary video,0
456,even mitch mcconnell beginning turn trump impeachment next video,0
457,la vega illegal alien arrested filming committing unspeakable act year old girl,0
458,whoa new disturbing video show hillary campaign likely faked audience nc rally,0
459,may pitch brexit eu summit dinner,1
460,trump sharpens rigged election allegation disputed republican lawyer,1
461,expect government black life matter help private citizen free market provide much needed help total stranger la flood,0
462,melania trump make shocking admission disqualifying husband office,0
463,saudi aim issue tourist visa next year official say,1
464,forget russia really affecting election pro hillary detroit city clerk hired illiterate poll worker,0
465,fbi memo confirms trump told comey end russia probe attack press abhorrent way,0
466,trump went full hypocrite national park getting trashed,0
467,sean spicer gave trump credit something obama white house desperate tweet,0
468,meet woman running white supremacist steve king iowa help win,0
469,trump anti trump force start florida ad battle,1
470,watch conservative christian leader say woman banned leader,0
471,kremlin say paris climate deal unworkable without u ria,1
472,taiwan say aim keep strong tie u china,1
473,boiler room war sell buying,0
474,chicago thug watched yr old play swing carrying brutal murder retaliation dad gang,0
475,trump meltdown kasich cruz joining force destroy tweet,0
476,alarming refugee minnesota test positive tb,0
477,germany expects u stand long standing commitment europe defense minister,1
478,election consequence muslim mayor make nj city sanctuary city city fund resource shall used assist enforcement federal immigration law,0
479,turkey iraq agree opening second border gate turkish custom minister,1
480,new jersey gov christie drop republican presidential bid aide,1
481,lol hillary accidentally call trump husband video,0
482,pope hope trump think daca decision immigrant child,1
483,hillary clinton abruptly cancel fundraiser nc today sleepy sick,0
484,obama point finger putin hack u election,1
485,chilling police abuse footage oakland cop want see video,0
486,china say north korea nuclear issue must resolved peacefully,1
487,france would recognize unilateral catalan declaration minister,1
488,breaking supreme court delivers major blow obama carbon emission scam,0
489,president obama call fox news creating fictional obama make people hate,0
490,northern irish dup say accept divergence north ireland rest uk,1
491,exclusive trump weigh aggressive u strategy iran source,1
492,happened black man offered free hug donald trump rally video,0
493,trump pick republican lawyer kaplan u labor board,1
494,guess uk political leader really think donald trump hint ace video,0
495,highlight trump presidency february p est gmt,1
496,world trade center fell donald trump boasted tower biggest manhattan,0
497,police reveal name orlando club shooting victim,1
498,u congress panel postpones work puerto rico debt bill,1
499,expelled refugee student kill seven kenyan school,1
500,college student wanted pay education make stunning admission spend student loan money,0
501,trump summit mexico pena nieto still,1
502,ryan say republican follow conscience trump,1
503,individual travel scrapped trump new cuba policy,1
504,trump booster apologizes clinton blackface tweet,1
505,hillary immoral reign sec state u sold million chemical arm clinton foundation donor used gas citizen,0
506,former cia nsa chief say trump unlawful order would followed armed force video,0
507,whoa mainstream medium officially declared war crooked hillary far away devastating minute hillary clinton ever see video,0
508,believe defeated bill june arm soldier recruiting center base,0
509,moby literally laugh donald trump invitation dj inauguration,0
510,video racist hillary clinton spout ridiculous stereotype pandering black,0
511,breaking wikileaks email suggest supreme court justice scalia may murdered,0
512,trump pick rep mulvaney head white house budget office,1
513,report facebook zuckerberg gave fbi mueller info russia investigation,0
514,exclusive trump vow fix scrap south korea trade deal want missile system payment,1
515,big mouth rosie donnell could heading prison taking hate president trump far,0
516,swiss army chief warns citizen explosive refugee situation tell arm,0
517,republican party gear fight obama court nominee,1
518,hysterical comedian joe piscopo imitates maxine water adam schiff bernie sander video,0
519,wow mexican need kill donald trump becomes president cross border go kill trump supporter video,0
520,white house want healthcare vote summer tax reform fall,1
521,hurricane irma may cut power million people florida utility,1
522,top republican senator blister trump demanding doj persecute hillary clinton,0
523,watch relative speak teen caught robbery shot killed going get money clothes go school,0
524,bundy militia fan continue threat kill oregon authority,0
525,home depot lowe ship emergency material florida ahead hurricane,1
526,president trump illegal immigrant crackdown begin fed conduct raid least state focus finding deporting criminal video,0
527,wow senator grassley out schumer schiff lied medium even though knew trump investigation collusion russian video,0
528,obama brag hijacking million acre utah nevada despite opposition post wrong picture land,0
529,obama visit flint michigan hear water crisis,1
530,jal screen majority muslim country passenger departure u,1
531,trump busted checking clinton as debate video,0
532,trust fund frat bro explodes uber driver foul mouthed fit entitlement video,0
533,white house plan release tax reform framework september source,1
534,nra president meltdown voting right hypocritical,0
535,governor new york attack trump depressing message election detail,0
536,moscow invite syrian group november peace congress russia,1
537,former leader germany far right planning found new party,1
538,conservative state depend far federal aid prof image,0
539,obama used nwa niggaz wit attitude famous f k police rap promote dangerous iran deal twitter video,0
540,trump responds elizabeth warren brutal tweet fails miserably video,0
541,austria playing game ban face concealing islamic dress mandate integration course else,0
542,uk parliament speaker must zero tolerance sexual harassment,1
543,former nyc mayor bloomberg say eyeing run president ft,1
544,putin praise trump say u spy may faked hacking evidence,1
545,trump tap nuclear industry lobbyist u energy dept job,1
546,massachusetts governor would sign transgender right bill,1
547,myanmar operation rohingya hallmark ethnic cleansing u congress member say,1
548,busted hillary clinton brother law might get vote california,0
549,factbox issue stake trump china summit florida,1
550,window stealing bandwidth might want delete,0
551,poll say bernie sander republican terrify gop,0
552,know u probe russian meddling election,1
553,seth macfarlane hit nail head perfectly explains hollywood hate trump tweet,0
554,trump complete meltdown attack chelsea clinton defense nepotism g,0
555,u immigration case could set limit presidential power,1
556,clinton camp say fbi say know trump russia tie,1
557,pope end sensitive trip asia seeking rohingya forgiveness,1
558,woman arrested wearing shirt naming muslim extremist fled country failed jihad attempt video,0
559,europe global environment mean germany need stable government merkel say,1
560,breaking news violent g protester trap melania hotel,0
561,treason white house say entirely likely even expected iran use billion sanction relief terrorism video,0
562,offending globalists teen kicked un building wearing bill clinton rape shirt video,0
563,wow disturbing reason airport screen employee every day work video,0
564,chicago school would le funding governor budget,1
565,trump keep manhattan federal prosecutor bharara post,1
